,Entity,Year,score_human,score_happy,score_cd,score_ci,score_d,score_le,score_mh,score_ap,score_vd,score_hi,score_s,score_w,score_su,score_hiv,score_t,score_gdp,score_co2,score_cm,score_mal,score_hd,score_lc,score_ra,score_we,weighted_human,weighted_happy,weighted_cd,weighted_ci,weighted_d,weighted_le,weighted_mh,weighted_ap,weighted_vd,weighted_hi,weighted_s,weighted_w,weighted_su,weighted_hiv,weighted_t,weighted_gdp,weighted_co2,weighted_cm,weighted_mal,weighted_hd,weighted_lc,weighted_re,weighted_we,year,total_weighted
0,United States,2017,0.0255,-0.0265,0.0873,0.0008,0.0193,0.0124,,0.2725,0.1922,,0.1323,0.2579,-0.1034,-0.1806,0.294,0.0697,0.1318,0.1646,0.12,-0.2352,-0.1231,-0.1231,-0.045,2.55,-2.65,8.73,0.08,1.9300000000000002,1.24,,27.250000000000004,19.220000000000002,,13.23,25.790000000000003,-10.34,-18.060000000000002,29.4,6.97,13.18,16.46,12.0,-23.52,-12.31,-12.31,-4.5,2017,94.34000000000002
1,United States,2016,0.0233,-0.0527,0.0916,0.0036,0.0222,0.0127,0.046,0.2732,0.214,,0.1215,0.2474,-0.1039,-0.1157,0.2639,0.05,0.1254,0.1519,0.1279,-0.2281,-0.1117,-0.1117,-0.0428,2.33,-5.27,9.16,0.36,2.22,1.27,4.6,27.32,21.4,,12.15,24.740000000000002,-10.39,-11.57,26.39,5.0,12.540000000000001,15.190000000000001,12.790000000000001,-22.81,-11.17,-11.17,-4.279999999999999,2016,96.19999999999999
2,United States,2015,0.0211,-0.0443,0.1051,0.01,0.0356,0.0131,0.0379,0.2285,0.2495,,0.0835,0.2212,-0.0749,-0.0594,0.2348,0.0416,0.1055,0.1392,0.1519,-0.2289,-0.1081,-0.1081,-0.0195,2.11,-4.43,10.51,1.0,3.56,1.31,3.7900000000000005,22.85,24.95,,8.35,22.12,-7.489999999999999,-5.94,23.48,4.16,10.549999999999999,13.919999999999998,15.190000000000001,-22.89,-10.81,-10.81,-1.95,2015,99.73999999999998
3,United States,2014,0.0189,-0.0043,0.1016,0.011,0.0431,0.0132,0.0275,0.2162,0.2614,0.0641,0.0488,0.2018,-0.0481,-0.0122,0.2069,0.0233,0.0809,0.1266,0.1206,-0.2069,-0.0977,-0.0977,-0.0051,1.8900000000000001,-0.43,10.16,1.0999999999999999,4.31,1.32,2.75,21.62,26.14,6.41,4.88,20.18,-4.81,-1.22,20.69,2.33,8.09,12.659999999999998,12.06,-20.69,-9.77,-9.77,-0.51,2014,100.23
4,United States,2013,0.0166,0.0094,0.0959,0.0102,0.0457,0.0131,0.0191,0.1772,0.2604,0.0297,0.0145,0.1811,-0.0349,0.0272,0.1803,0.0074,0.0887,0.1139,0.0835,-0.1715,-0.0916,-0.0916,0.0079,1.66,0.9400000000000001,9.59,1.02,4.569999999999999,1.31,1.91,17.72,26.040000000000003,2.97,1.4500000000000002,18.11,-3.49,2.7199999999999998,18.029999999999998,0.74,8.870000000000001,11.39,8.35,-17.150000000000002,-9.16,-9.16,0.79,2013,94.34000000000002
5,United States,2012,0.0189,-0.0217,0.0858,0.0081,0.0456,0.0125,0.0106,0.1501,0.2631,0.0048,-0.0158,0.1656,-0.0312,0.0574,0.1559,-0.0019,0.113,0.1013,0.0583,-0.1841,-0.087,-0.087,0.0187,1.8900000000000001,-2.17,8.58,0.8099999999999999,4.5600000000000005,1.25,1.06,15.010000000000002,26.31,0.48,-1.58,16.56,-3.1199999999999997,5.74,15.590000000000002,-0.19,11.3,10.13,5.83,-18.41,-8.7,-8.7,1.87,2012,82.55999999999999
6,United States,2011,0.0178,-0.0093,0.0725,0.0052,0.0421,0.0114,0.005,0.0955,0.2459,0.0012,-0.042,0.1488,-0.027,0.0782,0.1343,-0.0161,0.0803,0.0886,0.0444,-0.1363,-0.0832,-0.0832,0.02,1.78,-0.9299999999999999,7.249999999999999,0.52,4.21,1.1400000000000001,0.5,9.55,24.59,0.12,-4.2,14.879999999999999,-2.7,7.82,13.43,-1.6099999999999999,8.03,8.86,4.44,-13.63,-8.32,-8.32,2.0,2011,68.78999999999999
7,United States,2010,0.0144,-0.0025,0.0658,0.0051,0.043,0.0098,0.0012,0.1125,0.2342,-0.0059,-0.0394,0.156,-0.0098,0.09,0.1153,-0.0242,0.0583,0.0759,0.0173,-0.0845,-0.0828,-0.0828,0.0235,1.44,-0.25,6.58,0.51,4.3,0.98,0.12,11.25,23.419999999999998,-0.59,-3.94,15.6,-0.98,9.0,11.53,-2.42,5.83,7.59,1.73,-8.450000000000001,-8.28,-8.28,2.35,2010,69.50999999999999
8,United States,2009,0.01,-0.0033,0.0425,0.0016,0.0296,0.0077,-0.001,0.0758,0.1884,-0.0036,-0.0704,0.0863,-0.0177,0.0833,0.0941,-0.0403,0.0925,0.0506,0.0135,-0.0336,-0.0564,-0.0564,0.0474,1.0,-0.33,4.25,0.16,2.96,0.77,-0.1,7.580000000000001,18.84,-0.36,-7.04,8.63,-1.77,8.33,9.41,-4.03,9.25,5.06,1.35,-3.36,-5.64,-5.64,4.74,2009,54.52
9,United States,2008,0.01,0.0137,0.03,0.0023,0.0202,0.0053,-0.0001,0.0482,0.143,0.0048,-0.0895,0.0224,-0.0113,0.0587,0.0658,-0.0042,0.0199,0.038,0.0128,-0.0265,-0.023,-0.023,0.0173,1.0,1.37,3.0,0.22999999999999998,2.02,0.53,-0.01,4.82,14.299999999999999,0.48,-8.95,2.2399999999999998,-1.13,5.87,6.58,-0.42,1.9900000000000002,3.8,1.28,-2.65,-2.3,-2.3,1.73,2008,33.01
