,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006
Entity,United States,United States,United States,United States,United States,United States,United States,United States,United States,United States,United States,United States
score_human,0.0255,0.0233,0.0211,0.0189,0.0166,0.0189,0.0178,0.0144,0.01,0.01,0.0044,0.0
score_happy,-0.0265,-0.0527,-0.0443,-0.0043,0.0094,-0.0217,-0.0093,-0.0025,-0.0033,0.0137,0.0461,-0.0
score_cd,0.0873,0.0916,0.1051,0.1016,0.0959,0.0858,0.0725,0.0658,0.0425,0.03,0.019,-0.0
score_ci,0.0008,0.0036,0.01,0.011,0.0102,0.0081,0.0052,0.0051,0.0016,0.0023,0.0023,-0.0
score_d,0.0193,0.0222,0.0356,0.0431,0.0457,0.0456,0.0421,0.043,0.0296,0.0202,0.0111,0.0
score_le,0.0124,0.0127,0.0131,0.0132,0.0131,0.0125,0.0114,0.0098,0.0077,0.0053,0.0027,0.0
score_mh,,0.046,0.0379,0.0275,0.0191,0.0106,0.005,0.0012,-0.001,-0.0001,-0.0003,-0.0
score_ap,0.2725,0.2732,0.2285,0.2162,0.1772,0.1501,0.0955,0.1125,0.0758,0.0482,0.0309,0.0
score_vd,0.1922,0.214,0.2495,0.2614,0.2604,0.2631,0.2459,0.2342,0.1884,0.143,0.0914,-0.0
score_hi,,,,0.0641,0.0297,0.0048,0.0012,-0.0059,-0.0036,0.0048,0.0059,0.0
score_s,0.1323,0.1215,0.0835,0.0488,0.0145,-0.0158,-0.042,-0.0394,-0.0704,-0.0895,-0.0581,0.0
score_w,0.2579,0.2474,0.2212,0.2018,0.1811,0.1656,0.1488,0.156,0.0863,0.0224,-0.0009,-0.0
score_su,-0.1034,-0.1039,-0.0749,-0.0481,-0.0349,-0.0312,-0.027,-0.0098,-0.0177,-0.0113,-0.0037,0.0
score_hiv,-0.1806,-0.1157,-0.0594,-0.0122,0.0272,0.0574,0.0782,0.09,0.0833,0.0587,0.0274,-0.0
score_t,0.294,0.2639,0.2348,0.2069,0.1803,0.1559,0.1343,0.1153,0.0941,0.0658,0.0339,-0.0
score_gdp,0.0697,0.05,0.0416,0.0233,0.0074,-0.0019,-0.0161,-0.0242,-0.0403,-0.0042,0.0082,0.0
score_co2,0.1318,0.1254,0.1055,0.0809,0.0887,0.113,0.0803,0.0583,0.0925,0.0199,-0.0128,-0.0
score_cm,0.1646,0.1519,0.1392,0.1266,0.1139,0.1013,0.0886,0.0759,0.0506,0.038,0.0253,-0.0
score_mal,-0.12,-0.1279,-0.1519,-0.1206,-0.0835,-0.0583,-0.0444,-0.0173,-0.0135,-0.0128,0.0003,0.0
weighted_human,2.55,2.33,2.11,1.8900000000000001,1.66,1.8900000000000001,1.78,1.44,1.0,1.0,0.44,0.0
weighted_happy,-2.65,-5.27,-4.43,-0.43,0.9400000000000001,-2.17,-0.9299999999999999,-0.25,-0.33,1.37,4.61,-0.0
weighted_cd,8.73,9.16,10.51,10.16,9.59,8.58,7.249999999999999,6.58,4.25,3.0,1.9,-0.0
weighted_ci,0.08,0.36,1.0,1.0999999999999999,1.02,0.8099999999999999,0.52,0.51,0.16,0.22999999999999998,0.22999999999999998,-0.0
weighted_d,1.9300000000000002,2.22,3.56,4.31,4.569999999999999,4.5600000000000005,4.21,4.3,2.96,2.02,1.11,0.0
weighted_le,1.24,1.27,1.31,1.32,1.31,1.25,1.1400000000000001,0.98,0.77,0.53,0.27,0.0
weighted_mh,,4.6,3.7900000000000005,2.75,1.91,1.06,0.5,0.12,-0.1,-0.01,-0.03,-0.0
weighted_ap,27.250000000000004,27.32,22.85,21.62,17.72,15.010000000000002,9.55,11.25,7.580000000000001,4.82,3.09,0.0
weighted_vd,19.220000000000002,21.4,24.95,26.14,26.040000000000003,26.31,24.59,23.419999999999998,18.84,14.299999999999999,9.139999999999999,-0.0
weighted_hi,,,,6.41,2.97,0.48,0.12,-0.59,-0.36,0.48,0.59,0.0
weighted_s,13.23,12.15,8.35,4.88,1.4500000000000002,-1.58,-4.2,-3.94,-7.04,-8.95,-5.81,0.0
weighted_w,25.790000000000003,24.740000000000002,22.12,20.18,18.11,16.56,14.879999999999999,15.6,8.63,2.2399999999999998,-0.09,-0.0
weighted_su,-10.34,-10.39,-7.489999999999999,-4.81,-3.49,-3.1199999999999997,-2.7,-0.98,-1.77,-1.13,-0.37,0.0
weighted_hiv,-18.060000000000002,-11.57,-5.94,-1.22,2.7199999999999998,5.74,7.82,9.0,8.33,5.87,2.74,-0.0
weighted_t,29.4,26.39,23.48,20.69,18.029999999999998,15.590000000000002,13.43,11.53,9.41,6.58,3.39,-0.0
weighted_gdp,6.97,5.0,4.16,2.33,0.74,-0.19,-1.6099999999999999,-2.42,-4.03,-0.42,0.8200000000000001,0.0
weighted_co2,13.18,12.540000000000001,10.549999999999999,8.09,8.870000000000001,11.3,8.03,5.83,9.25,1.9900000000000002,-1.28,-0.0
weighted_cm,16.46,15.190000000000001,13.919999999999998,12.659999999999998,11.39,10.13,8.86,7.59,5.06,3.8,2.53,-0.0
weighted_mal,-12.0,-12.790000000000001,-15.190000000000001,-12.06,-8.35,-5.83,-4.44,-1.73,-1.35,-1.28,0.03,0.0
year,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006
total_weighted,122.98000000000002,120.05,115.82,116.85,112.32000000000001,104.83999999999999,88.17999999999999,88.71,61.720000000000006,35.96999999999999,22.750000000000004,0.0
