,Year,Factor,Total,Score
0,2017,Human Development Index,94.34000000000002,2.55
1,2016,Human Development Index,96.19999999999999,2.33
2,2015,Human Development Index,99.73999999999998,2.11
3,2014,Human Development Index,100.23,1.8900000000000001
4,2013,Human Development Index,94.34000000000002,1.66
5,2012,Human Development Index,82.55999999999999,1.8900000000000001
6,2011,Human Development Index,68.78999999999999,1.78
7,2010,Human Development Index,69.50999999999999,1.44
8,2009,Human Development Index,54.52,1.0
9,2008,Human Development Index,33.01,1.0
10,2007,Human Development Index,22.540000000000003,0.44
11,2006,Human Development Index,0.0,0.0
12,2017,Life Satisfaction,94.34000000000002,-2.65
13,2016,Life Satisfaction,96.19999999999999,-5.27
14,2015,Life Satisfaction,99.73999999999998,-4.43
15,2014,Life Satisfaction,100.23,-0.43
16,2013,Life Satisfaction,94.34000000000002,0.9400000000000001
17,2012,Life Satisfaction,82.55999999999999,-2.17
18,2011,Life Satisfaction,68.78999999999999,-0.9299999999999999
19,2010,Life Satisfaction,69.50999999999999,-0.25
20,2009,Life Satisfaction,54.52,-0.33
21,2008,Life Satisfaction,33.01,1.37
22,2007,Life Satisfaction,22.540000000000003,4.61
23,2006,Life Satisfaction,0.0,-0.0
24,2017,Decrease in Cancer Deaths,94.34000000000002,8.73
25,2016,Decrease in Cancer Deaths,96.19999999999999,9.16
26,2015,Decrease in Cancer Deaths,99.73999999999998,10.51
27,2014,Decrease in Cancer Deaths,100.23,10.16
28,2013,Decrease in Cancer Deaths,94.34000000000002,9.59
29,2012,Decrease in Cancer Deaths,82.55999999999999,8.58
30,2011,Decrease in Cancer Deaths,68.78999999999999,7.249999999999999
31,2010,Decrease in Cancer Deaths,69.50999999999999,6.58
32,2009,Decrease in Cancer Deaths,54.52,4.25
33,2008,Decrease in Cancer Deaths,33.01,3.0
34,2007,Decrease in Cancer Deaths,22.540000000000003,1.9
35,2006,Decrease in Cancer Deaths,0.0,-0.0
36,2017,Decrease in Cancer Incidences,94.34000000000002,0.08
37,2016,Decrease in Cancer Incidences,96.19999999999999,0.36
38,2015,Decrease in Cancer Incidences,99.73999999999998,1.0
39,2014,Decrease in Cancer Incidences,100.23,1.0999999999999999
40,2013,Decrease in Cancer Incidences,94.34000000000002,1.02
41,2012,Decrease in Cancer Incidences,82.55999999999999,0.8099999999999999
42,2011,Decrease in Cancer Incidences,68.78999999999999,0.52
43,2010,Decrease in Cancer Incidences,69.50999999999999,0.51
44,2009,Decrease in Cancer Incidences,54.52,0.16
45,2008,Decrease in Cancer Incidences,33.01,0.22999999999999998
46,2007,Decrease in Cancer Incidences,22.540000000000003,0.22999999999999998
47,2006,Decrease in Cancer Incidences,0.0,-0.0
48,2017,Decrease in Autism,94.34000000000002,1.9300000000000002
49,2016,Decrease in Autism,96.19999999999999,2.22
50,2015,Decrease in Autism,99.73999999999998,3.56
51,2014,Decrease in Autism,100.23,4.31
52,2013,Decrease in Autism,94.34000000000002,4.569999999999999
53,2012,Decrease in Autism,82.55999999999999,4.5600000000000005
54,2011,Decrease in Autism,68.78999999999999,4.21
