,Year,Factor,Total,Score
0,2017,Human Development Index,4.76,0.22
1,2016,Human Development Index,6.730000000000001,0.22
2,2015,Human Development Index,1.1200000000000006,0.22
3,2014,Human Development Index,6.860000000000001,0.22
4,2013,Human Development Index,8.549999999999999,-0.22
5,2012,Human Development Index,18.750000000000004,0.11
6,2011,Human Development Index,-0.020000000000000018,0.33
7,2010,Human Development Index,29.09,0.44
8,2009,Human Development Index,27.24,0.0
9,2008,Human Development Index,14.35,0.5499999999999999
10,2007,Human Development Index,22.750000000000004,0.44
11,2006,Human Development Index,,
12,2017,Life Satisfaction,4.76,2.77
13,2016,Life Satisfaction,6.730000000000001,-0.88
14,2015,Life Satisfaction,1.1200000000000006,-4.02
15,2014,Life Satisfaction,6.860000000000001,-1.35
16,2013,Life Satisfaction,8.549999999999999,3.17
17,2012,Life Satisfaction,18.750000000000004,-1.25
18,2011,Life Satisfaction,-0.020000000000000018,-0.6799999999999999
19,2010,Life Satisfaction,29.09,0.08
20,2009,Life Satisfaction,27.24,-1.68
21,2008,Life Satisfaction,14.35,-3.09
22,2007,Life Satisfaction,22.750000000000004,4.61
23,2006,Life Satisfaction,,
24,2017,Decrease in Cancer Deaths,4.76,-0.47000000000000003
25,2016,Decrease in Cancer Deaths,6.730000000000001,-1.51
26,2015,Decrease in Cancer Deaths,1.1200000000000006,0.38999999999999996
27,2014,Decrease in Cancer Deaths,6.860000000000001,0.63
28,2013,Decrease in Cancer Deaths,8.549999999999999,1.0999999999999999
29,2012,Decrease in Cancer Deaths,18.750000000000004,1.44
30,2011,Decrease in Cancer Deaths,-0.020000000000000018,0.72
31,2010,Decrease in Cancer Deaths,29.09,2.4299999999999997
32,2009,Decrease in Cancer Deaths,27.24,1.29
33,2008,Decrease in Cancer Deaths,14.35,1.1199999999999999
34,2007,Decrease in Cancer Deaths,22.750000000000004,1.9
35,2006,Decrease in Cancer Deaths,,
36,2017,Decrease in Cancer Incidences,4.76,-0.29
37,2016,Decrease in Cancer Incidences,6.730000000000001,-0.64
38,2015,Decrease in Cancer Incidences,1.1200000000000006,-0.1
39,2014,Decrease in Cancer Incidences,6.860000000000001,0.08
40,2013,Decrease in Cancer Incidences,8.549999999999999,0.21
41,2012,Decrease in Cancer Incidences,18.750000000000004,0.29
42,2011,Decrease in Cancer Incidences,-0.020000000000000018,0.02
43,2010,Decrease in Cancer Incidences,29.09,0.35000000000000003
