"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","HHDEBT","TOT","PC_NDI","A","1995",94.86145,
"AUS","HHDEBT","TOT","PC_NDI","A","1996",98.62147,
"AUS","HHDEBT","TOT","PC_NDI","A","1997",106.6224,
"AUS","HHDEBT","TOT","PC_NDI","A","1998",114.0952,
"AUS","HHDEBT","TOT","PC_NDI","A","1999",120.429,
"AUS","HHDEBT","TOT","PC_NDI","A","2000",125.2092,
"AUS","HHDEBT","TOT","PC_NDI","A","2001",130.5223,
"AUS","HHDEBT","TOT","PC_NDI","A","2002",150.0406,
"AUS","HHDEBT","TOT","PC_NDI","A","2003",161.5096,
"AUS","HHDEBT","TOT","PC_NDI","A","2004",171.8057,
"AUS","HHDEBT","TOT","PC_NDI","A","2005",181.8293,
"AUS","HHDEBT","TOT","PC_NDI","A","2006",186.9583,
"AUS","HHDEBT","TOT","PC_NDI","A","2007",189.7027,
"AUS","HHDEBT","TOT","PC_NDI","A","2008",183.4667,
"AUS","HHDEBT","TOT","PC_NDI","A","2009",189.4346,
"AUS","HHDEBT","TOT","PC_NDI","A","2010",187.3372,
"AUS","HHDEBT","TOT","PC_NDI","A","2011",185.9567,
"AUS","HHDEBT","TOT","PC_NDI","A","2012",187.2601,
"AUS","HHDEBT","TOT","PC_NDI","A","2013",187.7714,
"AUS","HHDEBT","TOT","PC_NDI","A","2014",191.8574,
"AUS","HHDEBT","TOT","PC_NDI","A","2015",199.3722,
"AUS","HHDEBT","TOT","PC_NDI","A","2016",207.2,
"AUS","HHDEBT","TOT","PC_NDI","A","2017",212.6421,
"AUS","HHDEBT","TOT","PC_NDI","A","2018",215.7394,
"AUS","HHDEBT","TOT","PC_NDI","A","2019",210.0677,
"AUT","HHDEBT","TOT","PC_NDI","A","1995",65.85123,
"AUT","HHDEBT","TOT","PC_NDI","A","1996",68.45939,
"AUT","HHDEBT","TOT","PC_NDI","A","1997",70.871,
"AUT","HHDEBT","TOT","PC_NDI","A","1998",70.46921,
"AUT","HHDEBT","TOT","PC_NDI","A","1999",73.53783,
"AUT","HHDEBT","TOT","PC_NDI","A","2000",75.41841,
"AUT","HHDEBT","TOT","PC_NDI","A","2001",77.01186,
"AUT","HHDEBT","TOT","PC_NDI","A","2002",78.94254,
"AUT","HHDEBT","TOT","PC_NDI","A","2003",79.08277,
"AUT","HHDEBT","TOT","PC_NDI","A","2004",81.19659,
"AUT","HHDEBT","TOT","PC_NDI","A","2005",87.18607,
"AUT","HHDEBT","TOT","PC_NDI","A","2006",88.55872,
"AUT","HHDEBT","TOT","PC_NDI","A","2007",88.36625,
"AUT","HHDEBT","TOT","PC_NDI","A","2008",89.79839,
"AUT","HHDEBT","TOT","PC_NDI","A","2009",90.11239,
"AUT","HHDEBT","TOT","PC_NDI","A","2010",93.71614,
"AUT","HHDEBT","TOT","PC_NDI","A","2011",93.2784,
"AUT","HHDEBT","TOT","PC_NDI","A","2012",91.04684,
"AUT","HHDEBT","TOT","PC_NDI","A","2013",90.82967,
"AUT","HHDEBT","TOT","PC_NDI","A","2014",90.48386,
"AUT","HHDEBT","TOT","PC_NDI","A","2015",92.05358,
"AUT","HHDEBT","TOT","PC_NDI","A","2016",92.00205,
"AUT","HHDEBT","TOT","PC_NDI","A","2017",90.54121,
"AUT","HHDEBT","TOT","PC_NDI","A","2018",90.09288,
"AUT","HHDEBT","TOT","PC_NDI","A","2019",89.78733,
"BEL","HHDEBT","TOT","PC_NDI","A","1995",65.32884,
"BEL","HHDEBT","TOT","PC_NDI","A","1996",68.81667,
"BEL","HHDEBT","TOT","PC_NDI","A","1997",71.99961,
"BEL","HHDEBT","TOT","PC_NDI","A","1998",71.44411,
"BEL","HHDEBT","TOT","PC_NDI","A","1999",73.2928,
"BEL","HHDEBT","TOT","PC_NDI","A","2000",71.44542,
"BEL","HHDEBT","TOT","PC_NDI","A","2001",67.32359,
"BEL","HHDEBT","TOT","PC_NDI","A","2002",68.94025,
"BEL","HHDEBT","TOT","PC_NDI","A","2003",70.9725,
"BEL","HHDEBT","TOT","PC_NDI","A","2004",75.30257,
"BEL","HHDEBT","TOT","PC_NDI","A","2005",80.51897,
"BEL","HHDEBT","TOT","PC_NDI","A","2006",84.01609,
"BEL","HHDEBT","TOT","PC_NDI","A","2007",87.73544,
"BEL","HHDEBT","TOT","PC_NDI","A","2008",90.04877,
"BEL","HHDEBT","TOT","PC_NDI","A","2009",92.82834,
"BEL","HHDEBT","TOT","PC_NDI","A","2010",97.41507,
"BEL","HHDEBT","TOT","PC_NDI","A","2011",102.6412,
"BEL","HHDEBT","TOT","PC_NDI","A","2012",103.0443,
"BEL","HHDEBT","TOT","PC_NDI","A","2013",104.7668,
"BEL","HHDEBT","TOT","PC_NDI","A","2014",109.2393,
"BEL","HHDEBT","TOT","PC_NDI","A","2015",111.6695,
"BEL","HHDEBT","TOT","PC_NDI","A","2016",112.7111,
"BEL","HHDEBT","TOT","PC_NDI","A","2017",113.091,
"BEL","HHDEBT","TOT","PC_NDI","A","2018",114.4394,
"BEL","HHDEBT","TOT","PC_NDI","A","2019",116.7897,
"CZE","HHDEBT","TOT","PC_NDI","A","1995",28.89097,
"CZE","HHDEBT","TOT","PC_NDI","A","1996",21.56627,
"CZE","HHDEBT","TOT","PC_NDI","A","1997",20.58744,
"CZE","HHDEBT","TOT","PC_NDI","A","1998",19.28789,
"CZE","HHDEBT","TOT","PC_NDI","A","1999",20.43991,
"CZE","HHDEBT","TOT","PC_NDI","A","2000",21.66288,
"CZE","HHDEBT","TOT","PC_NDI","A","2001",22.12086,
"CZE","HHDEBT","TOT","PC_NDI","A","2002",26.89737,
"CZE","HHDEBT","TOT","PC_NDI","A","2003",29.09673,
"CZE","HHDEBT","TOT","PC_NDI","A","2004",33.93189,
"CZE","HHDEBT","TOT","PC_NDI","A","2005",39.08971,
"CZE","HHDEBT","TOT","PC_NDI","A","2006",43.46153,
"CZE","HHDEBT","TOT","PC_NDI","A","2007",53.1948,
"CZE","HHDEBT","TOT","PC_NDI","A","2008",59.53843,
"CZE","HHDEBT","TOT","PC_NDI","A","2009",61.83718,
"CZE","HHDEBT","TOT","PC_NDI","A","2010",63.59326,
"CZE","HHDEBT","TOT","PC_NDI","A","2011",66.5231,
"CZE","HHDEBT","TOT","PC_NDI","A","2012",67.46433,
"CZE","HHDEBT","TOT","PC_NDI","A","2013",70.85363,
"CZE","HHDEBT","TOT","PC_NDI","A","2014",69.60333,
"CZE","HHDEBT","TOT","PC_NDI","A","2015",70.63539,
"CZE","HHDEBT","TOT","PC_NDI","A","2016",72.70351,
"CZE","HHDEBT","TOT","PC_NDI","A","2017",76.57607,
"CZE","HHDEBT","TOT","PC_NDI","A","2018",75.71343,
"CZE","HHDEBT","TOT","PC_NDI","A","2019",76.15139,
"DNK","HHDEBT","TOT","PC_NDI","A","1995",192.7977,
"DNK","HHDEBT","TOT","PC_NDI","A","1996",200.1547,
"DNK","HHDEBT","TOT","PC_NDI","A","1997",213.491,
"DNK","HHDEBT","TOT","PC_NDI","A","1998",221.4437,
"DNK","HHDEBT","TOT","PC_NDI","A","1999",225.5847,
"DNK","HHDEBT","TOT","PC_NDI","A","2000",232.1425,
"DNK","HHDEBT","TOT","PC_NDI","A","2001",236.7646,
"DNK","HHDEBT","TOT","PC_NDI","A","2002",242.52,
"DNK","HHDEBT","TOT","PC_NDI","A","2003",247.9129,
"DNK","HHDEBT","TOT","PC_NDI","A","2004",261.5377,
"DNK","HHDEBT","TOT","PC_NDI","A","2005",281.7372,
"DNK","HHDEBT","TOT","PC_NDI","A","2006",299.3419,
"DNK","HHDEBT","TOT","PC_NDI","A","2007",324.6386,
"DNK","HHDEBT","TOT","PC_NDI","A","2008",339.7779,
"DNK","HHDEBT","TOT","PC_NDI","A","2009",339.7609,
"DNK","HHDEBT","TOT","PC_NDI","A","2010",326.155,
"DNK","HHDEBT","TOT","PC_NDI","A","2011",319.9125,
"DNK","HHDEBT","TOT","PC_NDI","A","2012",314.2155,
"DNK","HHDEBT","TOT","PC_NDI","A","2013",305.8037,
"DNK","HHDEBT","TOT","PC_NDI","A","2014",305.774,
"DNK","HHDEBT","TOT","PC_NDI","A","2015",293.0566,
"DNK","HHDEBT","TOT","PC_NDI","A","2016",265.6999,
"DNK","HHDEBT","TOT","PC_NDI","A","2017",263.9423,
"DNK","HHDEBT","TOT","PC_NDI","A","2018",255.9448,
"DNK","HHDEBT","TOT","PC_NDI","A","2019",256.6714,
"FIN","HHDEBT","TOT","PC_NDI","A","1995",73.46716,
"FIN","HHDEBT","TOT","PC_NDI","A","1996",68.20261,
"FIN","HHDEBT","TOT","PC_NDI","A","1997",62.38225,
"FIN","HHDEBT","TOT","PC_NDI","A","1998",63.93,
"FIN","HHDEBT","TOT","PC_NDI","A","1999",64.83627,
"FIN","HHDEBT","TOT","PC_NDI","A","2000",67.60523,
"FIN","HHDEBT","TOT","PC_NDI","A","2001",69.73502,
"FIN","HHDEBT","TOT","PC_NDI","A","2002",74.28116,
"FIN","HHDEBT","TOT","PC_NDI","A","2003",78.52108,
"FIN","HHDEBT","TOT","PC_NDI","A","2004",86.56316,
"FIN","HHDEBT","TOT","PC_NDI","A","2005",96.914,
"FIN","HHDEBT","TOT","PC_NDI","A","2006",107.05,
"FIN","HHDEBT","TOT","PC_NDI","A","2007",111.8986,
"FIN","HHDEBT","TOT","PC_NDI","A","2008",114.437,
"FIN","HHDEBT","TOT","PC_NDI","A","2009",114.8615,
"FIN","HHDEBT","TOT","PC_NDI","A","2010",116.7394,
