"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","GDPHRWKD","TOT","USD","A","2001",45.412233,
"AUS","GDPHRWKD","TOT","USD","A","2002",46.044236,
"AUS","GDPHRWKD","TOT","USD","A","2003",47.035806,
"AUS","GDPHRWKD","TOT","USD","A","2004",46.900983,
"AUS","GDPHRWKD","TOT","USD","A","2005",47.093749,
"AUS","GDPHRWKD","TOT","USD","A","2006",47.366355,
"AUS","GDPHRWKD","TOT","USD","A","2007",47.939074,
"AUS","GDPHRWKD","TOT","USD","A","2008",49.624367,
"AUS","GDPHRWKD","TOT","USD","A","2009",49.144573,
"AUS","GDPHRWKD","TOT","USD","A","2010",49.954717,
"AUS","GDPHRWKD","TOT","USD","A","2011",50.542506,
"AUS","GDPHRWKD","TOT","USD","A","2012",51.752995,
"AUS","GDPHRWKD","TOT","USD","A","2013",52.618353,
"AUS","GDPHRWKD","TOT","USD","A","2014",52.861423,
"AUS","GDPHRWKD","TOT","USD","A","2015",54.203308,
"AUS","GDPHRWKD","TOT","USD","A","2016",54.058517,
"AUS","GDPHRWKD","TOT","USD","A","2017",54.71063,
"AUS","GDPHRWKD","TOT","USD","A","2018",54.712884,"E"
"AUS","GDPHRWKD","TOT","USD","A","2019",55.24439,"E"
"AUT","GDPHRWKD","TOT","USD","A","2001",56.53665,
"AUT","GDPHRWKD","TOT","USD","A","2002",57.608439,
"AUT","GDPHRWKD","TOT","USD","A","2003",58.062767,
"AUT","GDPHRWKD","TOT","USD","A","2004",59.197002,
"AUT","GDPHRWKD","TOT","USD","A","2005",60.623506,
"AUT","GDPHRWKD","TOT","USD","A","2006",62.235253,
"AUT","GDPHRWKD","TOT","USD","A","2007",63.797008,
"AUT","GDPHRWKD","TOT","USD","A","2008",63.799879,
"AUT","GDPHRWKD","TOT","USD","A","2009",63.352297,
"AUT","GDPHRWKD","TOT","USD","A","2010",64.310644,
"AUT","GDPHRWKD","TOT","USD","A","2011",64.948767,
"AUT","GDPHRWKD","TOT","USD","A","2012",65.654895,
"AUT","GDPHRWKD","TOT","USD","A","2013",66.07724,
"AUT","GDPHRWKD","TOT","USD","A","2014",66.314312,
"AUT","GDPHRWKD","TOT","USD","A","2015",67.261798,
"AUT","GDPHRWKD","TOT","USD","A","2016",67.177258,
"AUT","GDPHRWKD","TOT","USD","A","2017",68.100896,
"AUT","GDPHRWKD","TOT","USD","A","2018",68.505375,
"AUT","GDPHRWKD","TOT","USD","A","2019",68.3415,
"AUT","GDPHRWKD","TOT","USD","A","2020",70.243417,
"BEL","GDPHRWKD","TOT","USD","A","2001",63.233672,
"BEL","GDPHRWKD","TOT","USD","A","2002",63.667303,
"BEL","GDPHRWKD","TOT","USD","A","2003",64.204011,
"BEL","GDPHRWKD","TOT","USD","A","2004",66.278551,
"BEL","GDPHRWKD","TOT","USD","A","2005",67.287921,
"BEL","GDPHRWKD","TOT","USD","A","2006",67.637137,
"BEL","GDPHRWKD","TOT","USD","A","2007",68.887444,
"BEL","GDPHRWKD","TOT","USD","A","2008",68.464336,
"BEL","GDPHRWKD","TOT","USD","A","2009",68.020751,
