"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","WASTEMUN","TOT","THND_TONNE","A","2000",13200,"E"
"AUS","WASTEMUN","TOT","THND_TONNE","A","2007",12873,
"AUS","WASTEMUN","TOT","THND_TONNE","A","2008",13096.5,
"AUS","WASTEMUN","TOT","THND_TONNE","A","2009",13320,
"AUS","WASTEMUN","TOT","THND_TONNE","A","2010",13534,
"AUS","WASTEMUN","TOT","THND_TONNE","A","2011",13450,
"AUS","WASTEMUN","TOT","THND_TONNE","A","2012",13572.333,
"AUS","WASTEMUN","TOT","THND_TONNE","A","2013",13694.667,
"AUS","WASTEMUN","TOT","THND_TONNE","A","2014",13817,
"AUS","WASTEMUN","TOT","THND_TONNE","A","2015",14003,
"AUS","WASTEMUN","TOT","THND_TONNE","A","2016",13539,
"AUS","WASTEMUN","TOT","THND_TONNE","A","2017",13751,
"AUT","WASTEMUN","TOT","THND_TONNE","A","2000",4646,
"AUT","WASTEMUN","TOT","THND_TONNE","A","2001",4634,
"AUT","WASTEMUN","TOT","THND_TONNE","A","2002",4914,
"AUT","WASTEMUN","TOT","THND_TONNE","A","2003",4932,
"AUT","WASTEMUN","TOT","THND_TONNE","A","2004",4686.7,
"AUT","WASTEMUN","TOT","THND_TONNE","A","2005",4731.7,
"AUT","WASTEMUN","TOT","THND_TONNE","A","2006",4932.5,
"AUT","WASTEMUN","TOT","THND_TONNE","A","2007",4951.1,
"AUT","WASTEMUN","TOT","THND_TONNE","A","2008",4996.9,
"AUT","WASTEMUN","TOT","THND_TONNE","A","2009",4921,
"AUT","WASTEMUN","TOT","THND_TONNE","A","2010",4700.8,
"AUT","WASTEMUN","TOT","THND_TONNE","A","2011",4806.9,
"AUT","WASTEMUN","TOT","THND_TONNE","A","2012",4883.3,
"AUT","WASTEMUN","TOT","THND_TONNE","A","2013",4905.2,
"AUT","WASTEMUN","TOT","THND_TONNE","A","2014",4832.5,
"AUT","WASTEMUN","TOT","THND_TONNE","A","2015",4836,
"AUT","WASTEMUN","TOT","THND_TONNE","A","2016",4928.4,
"AUT","WASTEMUN","TOT","THND_TONNE","A","2017",5017.6,
"AUT","WASTEMUN","TOT","THND_TONNE","A","2018",5119,
"AUT","WASTEMUN","TOT","THND_TONNE","A","2019",5220.28,"E"
"BEL","WASTEMUN","TOT","THND_TONNE","A","2000",4830.518,
"BEL","WASTEMUN","TOT","THND_TONNE","A","2001",4801.848,
"BEL","WASTEMUN","TOT","THND_TONNE","A","2002",4981.229,
"BEL","WASTEMUN","TOT","THND_TONNE","A","2003",4824.054,
"BEL","WASTEMUN","TOT","THND_TONNE","A","2004",5058.685,
"BEL","WASTEMUN","TOT","THND_TONNE","A","2005",5052.388,
"BEL","WASTEMUN","TOT","THND_TONNE","A","2006",5114.829,
"BEL","WASTEMUN","TOT","THND_TONNE","A","2007",5242.92,
"BEL","WASTEMUN","TOT","THND_TONNE","A","2008",5140.702,
"BEL","WASTEMUN","TOT","THND_TONNE","A","2009",5042.386,
"BEL","WASTEMUN","TOT","THND_TONNE","A","2010",4971.958,
"BEL","WASTEMUN","TOT","THND_TONNE","A","2011",5022.778,
"BEL","WASTEMUN","TOT","THND_TONNE","A","2012",4944.255,
"BEL","WASTEMUN","TOT","THND_TONNE","A","2013",4867.074,
"BEL","WASTEMUN","TOT","THND_TONNE","A","2014",4762.003,
"BEL","WASTEMUN","TOT","THND_TONNE","A","2015",4642.623,
"BEL","WASTEMUN","TOT","THND_TONNE","A","2016",4745.78,
"BEL","WASTEMUN","TOT","THND_TONNE","A","2017",4671.868,
"BEL","WASTEMUN","TOT","THND_TONNE","A","2018",4677.385,
"BEL","WASTEMUN","TOT","THND_TONNE","A","2019",4779.342,
"CZE","WASTEMUN","TOT","THND_TONNE","A","2000",3434,
"CZE","WASTEMUN","TOT","THND_TONNE","A","2001",2798,"B"
"CZE","WASTEMUN","TOT","THND_TONNE","A","2002",2845,
"CZE","WASTEMUN","TOT","THND_TONNE","A","2003",2857,
"CZE","WASTEMUN","TOT","THND_TONNE","A","2004",2841,
"CZE","WASTEMUN","TOT","THND_TONNE","A","2005",2954,
"CZE","WASTEMUN","TOT","THND_TONNE","A","2006",3039,
"CZE","WASTEMUN","TOT","THND_TONNE","A","2007",3025,
"CZE","WASTEMUN","TOT","THND_TONNE","A","2008",3176,
"CZE","WASTEMUN","TOT","THND_TONNE","A","2009",3310,
"CZE","WASTEMUN","TOT","THND_TONNE","A","2010",3334,
"CZE","WASTEMUN","TOT","THND_TONNE","A","2011",3358,
"CZE","WASTEMUN","TOT","THND_TONNE","A","2012",3233,
"CZE","WASTEMUN","TOT","THND_TONNE","A","2013",3228.23,
"CZE","WASTEMUN","TOT","THND_TONNE","A","2014",3260.581,
"CZE","WASTEMUN","TOT","THND_TONNE","A","2015",3337.336,
"CZE","WASTEMUN","TOT","THND_TONNE","A","2016",3579.615,
"CZE","WASTEMUN","TOT","THND_TONNE","A","2017",5176.513,"B"
"CZE","WASTEMUN","TOT","THND_TONNE","A","2018",5247.651,
"CZE","WASTEMUN","TOT","THND_TONNE","A","2019",5337.521,
"DNK","WASTEMUN","TOT","THND_TONNE","A","2000",3546,
"DNK","WASTEMUN","TOT","THND_TONNE","A","2001",3519,
"DNK","WASTEMUN","TOT","THND_TONNE","A","2002",3568,
"DNK","WASTEMUN","TOT","THND_TONNE","A","2003",3618,
"DNK","WASTEMUN","TOT","THND_TONNE","A","2004",3757,
"DNK","WASTEMUN","TOT","THND_TONNE","A","2005",3990,
"DNK","WASTEMUN","TOT","THND_TONNE","A","2006",4021,
"DNK","WASTEMUN","TOT","THND_TONNE","A","2007",4313,
"DNK","WASTEMUN","TOT","THND_TONNE","A","2008",4560,
"DNK","WASTEMUN","TOT","THND_TONNE","A","2009",4206,"E"
"DNK","WASTEMUN","TOT","THND_TONNE","A","2010",4206,"E"
"DNK","WASTEMUN","TOT","THND_TONNE","A","2011",4803,"B"
"DNK","WASTEMUN","TOT","THND_TONNE","A","2012",4508,
"DNK","WASTEMUN","TOT","THND_TONNE","A","2013",4564,
"DNK","WASTEMUN","TOT","THND_TONNE","A","2014",4558,
"DNK","WASTEMUN","TOT","THND_TONNE","A","2015",4671,
"DNK","WASTEMUN","TOT","THND_TONNE","A","2016",4757,
"DNK","WASTEMUN","TOT","THND_TONNE","A","2017",4728,
"DNK","WASTEMUN","TOT","THND_TONNE","A","2018",4715,
"DNK","WASTEMUN","TOT","THND_TONNE","A","2019",4907.466,
"FIN","WASTEMUN","TOT","THND_TONNE","A","2000",2600,
"FIN","WASTEMUN","TOT","THND_TONNE","A","2001",2412,
"FIN","WASTEMUN","TOT","THND_TONNE","A","2002",2384.4,
"FIN","WASTEMUN","TOT","THND_TONNE","A","2003",2427.9,
"FIN","WASTEMUN","TOT","THND_TONNE","A","2004",2453.4,
"FIN","WASTEMUN","TOT","THND_TONNE","A","2005",2505.8,
"FIN","WASTEMUN","TOT","THND_TONNE","A","2006",2600.1,
"FIN","WASTEMUN","TOT","THND_TONNE","A","2007",2674.9,
"FIN","WASTEMUN","TOT","THND_TONNE","A","2008",2768,
"FIN","WASTEMUN","TOT","THND_TONNE","A","2009",2562,
"FIN","WASTEMUN","TOT","THND_TONNE","A","2010",2519,
"FIN","WASTEMUN","TOT","THND_TONNE","A","2011",2719,
"FIN","WASTEMUN","TOT","THND_TONNE","A","2012",2738,
"FIN","WASTEMUN","TOT","THND_TONNE","A","2013",2681.55,
"FIN","WASTEMUN","TOT","THND_TONNE","A","2014",2629.88,
"FIN","WASTEMUN","TOT","THND_TONNE","A","2015",2738.28,
"FIN","WASTEMUN","TOT","THND_TONNE","A","2016",2767.93,
"FIN","WASTEMUN","TOT","THND_TONNE","A","2017",2811.59,
"FIN","WASTEMUN","TOT","THND_TONNE","A","2018",3041.08,
"FIN","WASTEMUN","TOT","THND_TONNE","A","2019",3122.705,
"FRA","WASTEMUN","TOT","THND_TONNE","A","2000",31232,
"FRA","WASTEMUN","TOT","THND_TONNE","A","2001",32198,
"FRA","WASTEMUN","TOT","THND_TONNE","A","2002",32684,
"FRA","WASTEMUN","TOT","THND_TONNE","A","2003",31400,
"FRA","WASTEMUN","TOT","THND_TONNE","A","2004",32444,
"FRA","WASTEMUN","TOT","THND_TONNE","A","2005",33347,
"FRA","WASTEMUN","TOT","THND_TONNE","A","2006",33962,"E"
"FRA","WASTEMUN","TOT","THND_TONNE","A","2007",34577,
"FRA","WASTEMUN","TOT","THND_TONNE","A","2008",34501,"E"
"FRA","WASTEMUN","TOT","THND_TONNE","A","2009",34426,
"FRA","WASTEMUN","TOT","THND_TONNE","A","2010",34609,"E"
"FRA","WASTEMUN","TOT","THND_TONNE","A","2011",34790,
"FRA","WASTEMUN","TOT","THND_TONNE","A","2012",34484,"E"
"FRA","WASTEMUN","TOT","THND_TONNE","A","2013",34176,
"FRA","WASTEMUN","TOT","THND_TONNE","A","2014",34260,"E"
